"","ROWS","POINTS"
"1","0","0"
"2","Name of Test","event"
"3","Mean of Column",NA
"4","Confidence Interval","NA, NA"
"5","Non-Numerical Data",""
"6","Name of Test","ageAtDraw"
"7","Mean of Column","34.154935501963"
"8","Confidence Interval","87.4325571286542, -19.1226861247282"
"9","435","88"
"10","1798","91"
"11","4301","89"
"12","6985","91"
"13","10267","89"
"14","10957","90"
"15","12968","88"
"16","13256","89"
"17","14821","90"
"18","Name of Test","registry"
"19","Mean of Column",NA
"20","Confidence Interval","NA, NA"
"21","Non-Numerical Data",""
"22","Name of Test","testresults_white_blood_cell_count"
"23","Mean of Column","8.20853340158689"
"24","Confidence Interval","334.322589498672, -317.905522695499"
"25","11674","6800"
"26","Name of Test","testresults_red_blood_cell_count"
"27","Mean of Column","4.48718490997428"
"28","Confidence Interval","5.86111908728268, 3.11325073266588"
"29","28","3.11"
"30","1142","5.89"
"31","1236","3"
"32","2075","5.89"
"33","2301","5.95"
"34","2382","5.97"
"35","2826","2.18"
"36","3534","2.4"
"37","3804","2.39"
"38","3849","6.1"
"39","4318","6.19"
"40","5724","6.24"
"41","5728","6.08"
"42","6381","5.89"
"43","6829","2.66"
"44","7034","6.22"
"45","7728","6.01"
"46","9329","5.89"
"47","9534","6.33"
"48","9804","3.09"
"49","9869","6.31"
"50","10276","2.71"
"51","10464","2.6"
"52","10517","6.07"
"53","10570","5.97"
"54","10754","5.91"
"55","10774","2.84"
"56","11149","3"
"57","11571","6.52"
"58","11696","2.73"
"59","12685","5.87"
"60","13714","3.1"
"61","13793","6.3"
"62","14483","6.04"
"63","Name of Test","testresults_hemoglobin"
"64","Mean of Column","13.6526706655241"
"65","Confidence Interval","17.6925492974881, 9.61279203356019"
"66","28","5.9"
"67","547","8.1"
"68","1671","9.6"
"69","1724","9.6"
"70","2826","9.4"
"71","3534","7.4"
"72","3667","8"
"73","4313","9.1"
"74","5357","18.1"
"75","6829","9"
"76","7426","8.5"
"77","10152","8.6"
"78","10464","8.5"
"79","10546","9.6"
"80","11634","18.4"
"81","11696","7.5"
"82","13090","18.2"
"83","13714","9.1"
"84","14033","9.6"
"85","14060","8.6"
"86","15183","8.7"
"87","15256","8.7"
"88","Name of Test","testresults_hematocrit"
"89","Mean of Column","40.4232900763359"
"90","Confidence Interval","55.6090086122071, 25.2375715404646"
"91","28","22.1"
"92","695","3.63"
"93","1715","22"
"94","3534","21"
"95","3667","25"
"96","3802","229"
"97","4355","16.4"
"98","5266","24"
"99","7012","25"
"100","10464","25"
"101","11696","23"
"102","11714","25"
"103","13090","55.8"
"104","13793","12"
"105","Name of Test","testresults_mcv"
"106","Mean of Column","90.8196848137536"
"107","Confidence Interval","107.55685833886, 74.0825112886469"
"108","28","71.2"
"109","221","73"
"110","252","71.6"
"111","547","65"
"112","1444","61.9"
"113","1671","69.4"
"114","1881","108.2"
"115","2646","68"
"116","2826","122"
"117","3265","72"
"118","3667","72"
"119","3804","120"
"120","3849","66.5"
"121","4318","66"
"122","4772","71.7"
"123","5715","72"
"124","5724","69.6"
"125","5728","66"
"126","6447","110"
"127","7007","69.9"
"128","7012","72"
"129","7034","73.3"
"130","7426","63"
"131","7963","66.6"
"132","8946","66"
"133","9093","66.8"
"134","9534","66"
"135","9588","66"
"136","9787","72.4"
"137","9804","121.9"
"138","9869","66"
"139","10056","73"
"140","10152","62"
"141","10276","113"
"142","10317","67"
"143","10432","74"
"144","10570","72.1"
"145","11454","68.8"
"146","11571","63.4"
"147","13321","73"
"148","13793","66"
"149","14060","72"
"150","14471","73.5"
"151","14784","63.4"
"152","15183","73.8"
"153","Name of Test","testresults_mch"
"154","Mean of Column","30.5460941987364"
"155","Confidence Interval","38.1303009200405, 22.9618874774322"
"156","28","19"
"157","547","19"
"158","1444","19.7"
"159","1671","21.9"
"160","2646","21.6"
"161","2826","43"
"162","3265","22.4"
"163","3804","41"
"164","3849","20.1"
"165","4318","21"
"166","4853","80"
"167","5189","89"
"168","5724","22"
"169","5728","21"
"170","7007","22.3"
"171","7426","20"
"172","7963","21.9"
"173","8946","22"
"174","9093","21.4"
"175","9534","21"
"176","9588","21"
"177","9804","42.6"
"178","9869","21"
"179","10152","19.9"
"180","10317","21"
"181","10570","22.8"
